TaxonId	VirusSpecies
156690	Beet mild yellowing virus
157018	Scallion mosaic virus
157270	Gooseberry vein banding associated virus
157271	Spiraea yellow leafspot virus
157777	Pea streak virus
157837	Oat mosaic virus
158463	Tomato severe rugose virus
160358	Pepper yellow mosaic virus
160842	Narcissus late season yellows virus
160843	Narcissus yellow stripe virus
160844	Narcissus common latent virus
161378	Sri Lankan cassava mosaic virus
163325	Capsicum chlorosis virus
163654	Okra leaf curl virus
163655	Hollyhock leaf curl virus
165250	Alfalfa latent virus
165432	Cucumber leaf spot virus
165826	melon chlorotic leaf curl virus
167018	Elderberry latent virus
167019	Pelargonium line pattern virus
167020	Pelargonium ringspot virus
167021	Pelargonium chlorotic ring pattern virus
167129	Moroccan watermelon mosaic virus
167132	Tulip virus X
167161	Strawberry mottle virus
167478	Bermuda grass etched-line virus
167634	Grapevine rootstock stem lesion associated virus
167927	Sugarcane striate mosaic-associated virus
167947	Lettuce necrotic stunt virus
168135	Apium virus Y
169102	abutilon yellows virus
169687	Ageratum yellow leaf curl betasatellite
169691	Tobacco leaf curl disease associated sequence
169693	Okra yellow vein disease associated sequence
169696	Hollyhock leaf crumple virus satellite DNA
169865	Macroptilium yellow mosaic virus
172220	Blueberry red ringspot virus
172278	Chilli leaf curl virus
172391	Tomato chlorotic mottle virus
172394	Tomato mottle leaf curl virus
173976	Cycas necrotic stunt virus
174178	Citrus yellow mosaic virus
175814	Cestrum yellow leaf curling virus
178354	Taro bacilliform virus
178599	Tomato mild mottle virus
180399	Melon chlorotic mosaic virus
180526	Tobacco curly shoot virus
180587	Honeysuckle yellow vein mosaic virus
180903	Pineapple mealybug wilt-associated virus 1
182452	gentian mosaic virus
183585	Peach mosaic virus
184020	Tobacco bushy top virus
184610	Grapevine leafroll-associated virus 9
185017	sunflower mosaic virus
185218	African oil palm ringspot virus
185692	Passion fruit yellow mosaic virus
185750	Ageratum yellow vein betasatellite
185793	Tomato yellow leaf curl China virus
185954	Mal de Rio Cuarto virus
185955	Hibiscus latent Singapore virus
186187	Lycoris mild mottle virus
186371	Bhendi yellow vein betasatellite
186373	vanilla mosaic virus
186637	Eupatorium yellow vein mosaic virus
186642	Ornithogalum virus 2
186643	Ornithogalum virus 3
186786	Ourmia melon virus
187850	Ageratum yellow vein alphasatellite
187977	Wild potato mosaic virus
187978	Peru tomato mosaic virus
188141	Spring beauty latent virus
188333	Ageratum enation virus
190503	Spartina mottle virus
190808	Apple fruit crinkle viroid
190809	Arabis mosaic virus large satellite RNA
190810	Australian grapevine viroid
190811	Bamboo mosaic virus satellite RNA
191032	Cereal yellow dwarf virus-RPV satellite RNA
191460	Sida mottle virus
191461	Tomato crinkle yellow leaf virus
191463	Sida yellow mosaic virus
191547	Beet ringspot virus
192023	Cymbidium ringspot virus satellite RNA
192025	Coleus blumei viroid 1
192026	Coleus blumei viroid 2
192027	Coleus blumei viroid 3
192203	Tobacco vein distorting virus
192452	Cocksfoot streak virus
193118	Lucerne transient streak virus satellite RNA
193119	Pea enation mosaic virus satellite RNA
193120	Pea enation mosaic virus 2
193121	Pea enation mosaic virus 1
193122	Peanut stunt virus satellite RNA
194445	Mirabilis mosaic virus
195056	Rice yellow mottle virus satellite
195059	Datura yellow vein nucleorhabdovirus
195060	Potato yellow dwarf nucleorhabdovirus
195061	Solanum nodiflorum mottle virus satellite RNA
195062	Strawberry latent ringspot virus satellite RNA
195063	Subterranean clover mottle virus satellite RNA
196089	Tomato black ring virus satellite RNA
196093	Tomato leaf curl Taiwan virus
196094	Turnip crinkle virus satellite RNA
196095	Velvet tobacco mottle virus Satellite RNA
196375	Beet black scorch virus
196398	Southern cowpea mosaic virus
196399	Arabis mosaic virus small satellite RNA
196400	Grapevine rupestris stem pitting-associated virus
196691	Tobacco leaf rugose virus
197112	pear latent virus
198310	Rubus yellow net virus
198473	Citrus exocortis viroid (CEV-g)
198589	Beet western yellows ST9 associated virus
198612	Groundnut bud necrosis virus
199361	Pea stem necrosis virus
199587	Hollyhock leaf crumple virus
200255	Mirafiori lettuce big-vein virus
201862	Wisteria vein mosaic virus
202566	Cherry rasp leaf virus
202568	Stachytarpheta leaf curl virus
203168	Grapevine leafroll-associated virus 6
204073	Alpinia mosaic virus
204478	Iranian johnsongrass mosaic virus
204928	Calibrachoa mottle virus
204933	Grapevine rupestris vein feathering virus
205323	Tobacco leaf curl betasatellite
206392	Iris mild mosaic virus
207240	Luffa yellow mosaic virus
207697	Croton yellow vein mosaic virus
208084	Grapevine Algerian latent virus
208086	Moroccan pepper virus
208177	Tomato leaf curl Vietnam virus
209854	Maize fine streak nucleorhabdovirus
211866	Tobacco leaf curl Yunnan virus
213888	Dahlia mosaic virus
214439	Hosta virus X
216614	Daphne virus S
217615	Grapevine leafroll-associated virus 7
217686	Little cherry virus 1
218282	Chinese artichoke mosaic virus
218387	Kalanchoe top-spotting virus
218845	Tobacco leaf curl Yunnan betasatellite
218923	Turnip rosette virus
219174	Eggplant latent viroid
219299	Tomato leaf curl Gujarat virus
219596	Tobacco curly shoot betasatellite
219702	tulip mild mottle mosaic virus
219744	Tomato yellow leaf curl Malaga virus
220340	Bean golden yellow mosaic virus
220608	Tomato leaf curl Bangalore virus
220812	Tomato leaf curl betasatellite
220813	Zinnia leaf curl virus-associated DNA beta
220814	Cucurbita yellow vein virus-associated DNA beta
220932	Tomato leaf curl Karnataka virus
220934	Tomato leaf curl Bangalore virus-[Kolar]
220940	Tomato yellow leaf curl virus-[Cuba]
220944	Tomato yellow leaf curl virus - Mild
221036	Malvastrum yellow vein betasatellite
221037	Honeysuckle yellow vein betasatellite
221054	Eupatorium yellow vein betasatellite
221262	Pennisetum mosaic virus
221523	Bhendi yellow vein mosaic virus-[Madurai]
221525	Tomato yellow leaf curl China virus-[Y64]
221526	Tomato yellow leaf curl China virus-Tb[Y5]
221530	Tomato yellow leaf curl China virus-Tb[Y36]
221531	Tomato yellow leaf curl China virus-Tb[Y38]
221532	Tomato yellow leaf curl China virus-To[Y25]
221540	Tomato yellow leaf curl Thailand virus-[2]
221541	Tomato yellow leaf curl Thailand virus-[1]
222064	African cassava mosaic virus-[Cameroon]
222078	Ageratum yellow vein China virus - [Hn2]
222079	Ageratum yellow vein Sri Lanka virus
222441	Ageratum yellow vein Taiwan virus
222445	Bean golden yellow mosaic virus-[Dominican Republic]
222447	Bean golden yellow mosaic virus-[Mexico]
222449	Bean golden yellow mosaic virus-[Puerto Rico-Japan]
222450	Chayote yellow mosaic virus
222456	Cotton leaf curl Alabad virus
222459	Cotton leaf curl Gezira virus
222460	Cotton leaf curl Gezira virus-[Cotton]
222461	Cotton leaf curl Gezira virus-[Okra/Egypt]
222464	Cotton leaf curl Kokhran virus
222466	Cotton leaf curl Kokhran virus-[Faisalabad1]
222473	Tobacco curly shoot virus - [Y35]
222474	Squash leaf curl Yunnan virus
222475	Malvastrum yellow vein virus
222476	Malvastrum yellow vein virus-[Y47]
223250	Tobacco curly shoot virus - [Y41]
223252	Cotton leaf curl Multan virus
223255	Cotton leaf curl Multan virus-[Faisalabad2]
223260	Cowpea golden mosaic virus-[Nigeria]
223262	East African cassava mosaic Cameroon virus
223264	East African cassava mosaic Malawi virus
223265	East African cassava mosaic Malawi virus-Malawi[K]
223275	East African cassava mosaic Zanzibar virus
223276	Eupatorium yellow vein virus-[MNS2]
223279	Hollyhock leaf crumple virus-[Cairo]
223281	Indian cassava mosaic virus-[Maharashtra]
223282	Macroptilium mosaic Puerto Rico virus
223284	Macroptilium yellow mosaic Florida virus
223286	Melon chlorotic leaf curl virus-[Guatemala]
223287	Mungbean yellow mosaic India virus
223290	Mungbean yellow mosaic India virus-[Mungbean]
223295	Mungbean yellow mosaic virus-Vigna
223301	Pepper golden mosaic virus
223303	Pepper huasteco yellow vein virus
223305	Pepper leaf curl Bangladesh virus
223307	Potato yellow mosaic Panama virus
223308	Potato yellow mosaic Trinidad virus
223310	Potato yellow mosaic virus - [Venezuela]
223313	Sida golden mosaic Costa Rica virus
223314	Sida golden mosaic Florida virus
223315	Sida golden mosaic Florida virus-USA
223316	Sida golden mosaic Honduras virus
223317	Sida golden yellow vein virus
223318	Sida golden yellow vein virus-[A11]
223319	Sida mottle virus-[Brazil]
223320	Sida yellow mosaic virus-[Brazil]
223321	Sida yellow vein virus
223323	Squash leaf curl China virus
223324	Squash mild leaf curl virus
223328	Sri Lankan cassava mosaic virus-[Colombo]
223332	Tobacco leaf curl Japan virus
223334	Tobacco leaf curl Kochi virus
223337	Tobacco leaf curl Zimbabwe virus
223338	Tomato chlorotic mottle virus-[Brazil]
223339	Tomato chlorotic mottle virus-Crumple
223341	Tomato golden mosaic virus-Yellow vein
223342	Tomato golden mottle virus
223344	Tomato leaf curl Bangladesh virus
223345	Tomato leaf curl Laos virus
223346	Tomato leaf curl Malaysia virus
