Species	Virus_name_abbreviation
Huangpi kabutovirus	HpTV-2
Kabuto mountain kabutovirus	KAMV
Laurel Lake laulavirus	LLV
Mothra mobuvirus	MTHV
Badu phasivirus	BADV
Phasi Charoen-like phasivirus	PCVR
Wutai mosquito phasivirus	WMoV
Bujaru phlebovirus	MUNV
Candiru phlebovirus	CDUV
Chilibre phlebovirus	CHIV
Frijoles phlebovirus	FRIV
Mukawa phlebovirus	MKWV
Punta Toro phlebovirus	PTV
Rift Valley fever phlebovirus	RVFV
Salehabad phlebovirus	ADAV
Sandfly fever Naples phlebovirus	TOSV
Uukuniemi phlebovirus	UUKV
Pidgey pidchovirus	PGYV
Echinochloa hoja blanca tenuivirus	EHBV
Iranian wheat stripe tenuivirus	IWSV
Maize stripe tenuivirus	MSV
Rice grassy stunt tenuivirus	RGSV
Rice hoja blanca tenuivirus	RHBV
Rice stripe tenuivirus	RSV
Urochloa hoja blanca tenuivirus	UHBV
Shrimp wenrivirus	WzSV-1
Dipteran wubeivirus	HbDV-5
Fly wubeivirus	WhFV-1
Bean necrotic mosaic orthotospovirus	BeNMV
Calla lily chlorotic spot orthotospovirus	CCSV
Capsicum chlorosis orthotospovirus	CaCV
Chrysanthemum stem necrosis orthotospovirus	CSNV
Groundnut bud necrosis tospovirus	GBNV
Groundnut ringspot tospovirus	GRSV
Groundnut yellow spot tospovirus	GYSV
Impatiens necrotic spot tospovirus	INSV
Iris yellow spot tospovirus	IYSV
Melon severe mosaic orthotospovirus	MSMV
Melon yellow spot orthotospovirus	MYSV
Polygonum ringspot tospovirus	PolRSV
Soybean vein necrosis orthotospovirus	SVNV
Tomato chlorotic spot tospovirus	TCSV
Tomato spotted wilt tospovirus	TSWV
Watermelon bud necrosis tospovirus	WBNV
Watermelon silver mottle tospovirus	WSMoV
Zucchini lethal chlorosis tospovirus	ZLC
Millipede wumivirus	WhMV-2
Citrus coguvirus	CCGaV
Tilapia tilapinevirus	TiLV
Influenza A virus	IAV
Influenza B virus	IBV
Influenza D virus	ICV
Influenza C virus	IDV
Salmon isavirus	ISAV
Johnston Atoll quaranjavirus	JAV
Quaranfil quaranjavirus	QV
Dhori thogotovirus	DV
Thogoto thogotovirus	TV
Aplysia abyssovirus 1	AAbV
Muarterivirus afrigant	OSV-1
